time,assets
2011-12-31,6331000000
2011-12-31,6331000000
2011-12-31,6331000000
2012-06-30,14928000000
2012-09-30,16038000000
2012-12-31,15103000000
2012-12-31,15103000000
2012-12-31,15103000000
2012-12-31,15103000000
2012-12-31,15103000000
2013-03-31,15163000000
2013-06-30,15724000000
2013-09-30,14933000000
2013-12-31,17895000000
2013-12-31,17895000000
2013-12-31,17895000000
2013-12-31,17895000000
2013-12-31,17895000000
2014-03-31,19028000000
2014-06-30,20769000000
2014-09-30,24188000000
2014-12-31,40184000000
2014-12-31,40184000000
2014-12-31,40184000000
2014-12-31,40184000000
2014-12-31,39966000000
2015-03-31,42007000000
2015-06-30,44130000000
2015-09-30,46469000000
2015-12-31,49407000000
2015-12-31,49407000000
2015-12-31,49407000000
2015-12-31,49407000000
2015-12-31,49407000000
2016-03-31,52075000000
2016-03-31,52262000000
2016-06-30,55739000000
2016-06-30,55968000000
2016-09-30,59674000000
2016-09-30,60007000000
2016-12-31,64961000000
2016-12-31,64961000000
2016-12-31,64961000000
2016-12-31,64961000000
2016-12-31,64961000000
2017-03-31,68714000000
2017-06-30,73843000000
2017-09-30,78998000000
2017-12-31,84524000000
2017-12-31,84524000000
2017-12-31,84524000000
2017-12-31,84524000000
2017-12-31,84524000000
2018-03-31,88945000000
2018-06-30,90291000000
2018-09-30,92452000000
2018-12-31,97334000000
2018-12-31,97334000000
2018-12-31,97334000000
2018-12-31,97334000000
2018-12-31,97334000000
2019-03-31,109477000000
2019-06-30,117006000000
2019-09-30,124418000000
2019-12-31,133376000000
2019-12-31,133376000000
2019-12-31,133376000000
2019-12-31,133376000000
2019-12-31,133376000000
2020-03-31,138371000000
2020-06-30,139691000000
2020-09-30,146437000000
2020-12-31,159316000000
2020-12-31,159316000000
2020-12-31,159316000000
2020-12-31,159316000000
2020-12-31,159316000000
2021-03-31,163523000000
2021-06-30,170609000000
2021-09-30,169585000000
2021-12-31,165987000000
2021-12-31,165987000000
2021-12-31,165987000000
2021-12-31,165987000000
2021-12-31,165987000000
2022-03-31,164218000000
2022-06-30,169779000000
2022-09-30,178894000000
2022-12-31,185727000000
2022-12-31,185727000000
2022-12-31,185727000000
2022-12-31,185727000000
2022-12-31,185727000000
2023-03-31,184491000000
2023-06-30,206688000000
2023-09-30,216274000000
2023-12-31,229623000000
2023-12-31,229623000000
2023-12-31,229623000000
2024-03-31,222844000000
2024-06-30,230238000000
