time,number_of_shares
2009-06-27,895816758
2009-10-16,900678473
2009-10-16,900678473
2010-01-15,906794589
2010-04-09,909938383
2010-07-09,913562880
2010-10-15,917307099
2011-01-07,921278012
2011-04-08,924754561
2011-07-08,927090886
2011-10-14,929409000
2012-01-13,932370000
2012-04-13,935062000
2012-07-13,937406000
2012-10-19,940692000
2013-01-11,939058000
2013-04-12,938649000
2013-07-12,908497000
2013-10-18,899738000
2014-01-10,891989000
2014-04-11,861381000
2014-07-11,5987867000
2014-10-10,5864840000
2015-01-09,5824748000
2015-04-10,5761030000
2015-07-10,5702722000
2015-10-09,5575331000
2016-01-08,5544583000
2016-04-08,5477425000
2016-07-15,5388443000
2016-10-14,5332313000
2017-01-20,5246540000
2017-04-21,5213840000
2017-07-21,5165228000
2017-10-20,5134312000
2018-01-19,5074013000
2018-04-20,4915138000
2018-07-20,4829926000
2018-10-26,4745398000
2019-01-18,4715280000
2019-04-22,4601075000
2019-07-19,4519180000
2019-10-18,4443265000
2020-01-17,4375480000
2020-04-17,4334335000
2020-07-17,4275634000
2020-10-16,17001802000
2021-01-15,16788096000
2021-04-16,16687631000
2021-07-16,16530166000
2021-10-15,16406397000
2022-01-14,16319441000
2022-04-15,16185181000
2022-07-15,16070752000
2022-10-14,15908118000
2023-01-20,15821946000
2023-04-21,15728702000
2023-07-21,15634232000
2023-10-20,15552752000
2024-01-19,15441881000
2024-04-19,15334082000
2024-07-19,15204137000
