time,number_of_shares
2009-07-17,431807370
2009-10-19,432982766
2010-01-22,444546442
2010-04-16,445671637
2010-07-15,447825009
2010-10-14,448836757
2011-01-19,451003759
2011-04-19,452043073
2011-07-15,453935325
2011-10-14,454754345
2012-01-19,455068465
2012-04-13,450525501
2012-07-13,452065256
2012-10-12,452958533
2013-01-18,454551069
2013-04-12,455242694
2013-07-12,456883519
2013-10-11,457733620
2014-01-17,459264535
2014-04-16,460167404
2014-07-16,462036113
2014-10-15,463006452
2015-01-16,464383939
2015-04-15,465680957
2015-07-15,467710218
2015-10-14,468762005
2016-01-20,470842035
2016-04-20,471827960
2016-07-20,474073542
2016-10-19,475166527
2017-01-25,477170618
2017-04-18,477975499
2017-07-18,480379517
2017-10-18,481872175
2018-01-24,484107183
2018-04-18,485226904
2018-07-18,487741189
2018-10-17,488968628
2019-01-23,491202890
2019-04-17,492331776
2019-07-17,494656015
2019-10-16,495797220
2020-01-22,497810444
2020-04-22,498776032
2020-07-22,500889651
2020-10-21,501751183
2021-01-20,503564743
2021-04-21,504323736
2021-07-21,506440520
2021-10-20,507147620
2022-01-26,508844410
2022-04-20,508720481
2022-07-20,10187554818
2022-10-19,10201654176
2023-01-25,10247259757
2023-04-19,10260353688
2023-07-21,10317750796
2023-10-18,10334030586
2024-01-24,10387381291
2024-04-24,10406627415
2024-07-24,10495566881
