time,number_of_shares
2009-10-19,8879121378
2010-01-25,8770460922
2010-04-19,8763839329
2010-07-20,8653567331
2010-10-22,8555523242
2011-01-21,8402382031
2011-04-21,8432767307
2011-07-20,8378265782
2011-10-17,8412182277
2012-01-17,8390771388
2012-04-17,8400866103
2012-07-18,8383396575
2012-10-15,8416462491
2013-01-18,8376244910
2013-04-11,8351106590
2013-07-18,8329956402
2013-10-16,8347968348
2014-01-17,8300723725
2014-04-17,8260411967
2014-07-22,8239848789
2014-10-16,8242852827
2015-01-22,8203785341
2015-04-16,8089575277
2015-07-27,7997980969
2015-10-15,7987913152
2016-01-22,7909302774
2016-04-15,7860466856
2016-07-25,7792515573
2016-10-14,7775350501
2017-01-20,7727529820
2017-04-21,7720514731
2017-07-31,7702243979
2017-10-20,7714590195
2018-01-26,7699792852
2018-04-20,7683197503
2018-07-31,7668217316
2018-10-19,7676218736
2019-01-25,7672213446
2019-04-18,7662817920
2019-07-29,7635409400
2019-10-18,7628805618
2020-01-24,7606047010
2020-04-24,7583440247
2020-07-27,7567652935
2020-10-22,7560495969
2021-01-21,7542215767
2021-04-22,7531574551
2021-07-26,7514891248
2021-10-21,7507980444
2022-01-20,7496866428
2022-04-21,7479033135
2022-07-25,7457891872
2022-10-20,7454473144
2023-01-19,7443803533
2023-04-20,7435487575
2023-07-24,7429763722
2023-10-19,7432262329
2024-01-25,7430436229
2024-04-22,7432305794
2024-07-25,7433038381
