time,number_of_shares
2009-08-17,547800000
2009-11-17,554900000
2010-03-10,566500000
2010-05-17,572168377
2010-08-25,574028479
2010-11-18,580261256
2011-03-10,591400000
2011-05-23,600288389
2011-08-19,603727365
2011-11-17,610653436
2012-03-09,616028107
2012-05-18,618804109
2012-08-17,619476242
2012-11-16,624850798
2013-03-08,615980172
2013-05-17,577916410
2013-08-16,578598038
2013-11-15,568535613
2014-03-07,554241412
2014-05-16,557966266
2014-08-15,541915105
2014-11-14,543536901
2015-03-06,549840211
2015-05-15,537560128
2015-08-14,539081160
2015-11-13,538450118
2016-03-11,541641088
2016-05-23,533924612
2016-08-19,535002186
2016-11-18,539495365
2017-02-24,588632086
2017-05-19,595129427
2017-08-18,600171277
2017-11-17,605647276
2018-02-26,604636210
2018-05-18,607171892
2018-08-10,608000000
2018-11-09,610000000
2019-02-15,606000000
2019-05-10,609000000
2019-08-09,609000000
2019-11-08,612000000
2020-02-14,612000000
2020-05-15,615000000
2020-08-14,617000000
2020-11-13,619000000
2021-02-19,620000000
2021-05-21,623000000
2021-08-13,2500000000
2021-11-12,2500000000
2022-03-11,2510000000
2022-05-20,2500000000
2022-08-19,2490000000
2022-11-11,2460000000
2023-02-17,2470000000
2023-05-19,2470000000
2023-08-18,2470000000
2023-11-17,2470000000
2024-02-16,2500000000
2024-05-24,2460000000
2024-08-23,24530000000
