start,end,net_income_loss
2007-01-01,2007-12-31,476000000
2007-07-01,2008-06-30,588000000
2008-01-01,2008-06-30,301000000
2008-04-01,2008-06-30,158000000
2007-10-01,2008-09-30,627000000
2008-01-01,2008-09-30,420000000
2008-07-01,2008-09-30,118000000
2008-01-01,2008-12-31,645000000
2008-01-01,2008-12-31,645000000
2008-04-01,2009-03-31,679000000
2009-01-01,2009-03-31,177000000
2009-01-01,2009-03-31,177000000
2008-07-01,2009-06-30,663000000
2008-07-01,2009-06-30,663000000
2009-01-01,2009-06-30,319000000
2009-01-01,2009-06-30,319000000
2009-04-01,2009-06-30,142000000
2009-04-01,2009-06-30,142000000
2009-04-01,2009-06-30,142000000
2008-10-01,2009-09-30,743000000
2008-10-01,2009-09-30,743000000
2009-01-01,2009-09-30,518000000
2009-01-01,2009-09-30,518000000
2009-07-01,2009-09-30,199000000
2009-07-01,2009-09-30,199000000
2009-07-01,2009-09-30,199000000
2009-01-01,2009-12-31,902000000
2009-01-01,2009-12-31,902000000
2009-01-01,2009-12-31,902000000
2009-10-01,2009-12-31,384000000
2009-04-01,2010-03-31,1024000000
2009-04-01,2010-03-31,1024000000
2010-01-01,2010-03-31,299000000
2010-01-01,2010-03-31,299000000
2010-01-01,2010-03-31,299000000
2010-01-01,2010-03-31,299000000
2009-07-01,2010-06-30,1088000000
2009-07-01,2010-06-30,1088000000
2010-01-01,2010-06-30,505000000
2010-01-01,2010-06-30,505000000
2010-04-01,2010-06-30,207000000
2010-04-01,2010-06-30,207000000
2010-04-01,2010-06-30,207000000
2010-04-01,2010-06-30,207000000
2009-10-01,2010-09-30,1120000000
2009-10-01,2010-09-30,1120000000
2010-01-01,2010-09-30,736000000
2010-01-01,2010-09-30,736000000
2010-07-01,2010-09-30,231000000
2010-07-01,2010-09-30,231000000
2010-07-01,2010-09-30,231000000
2010-07-01,2010-09-30,231000000
2010-01-01,2010-12-31,1152000000
2010-01-01,2010-12-31,1152000000
2010-01-01,2010-12-31,1152000000
2010-10-01,2010-12-31,416000000
2010-10-01,2010-12-31,416000000
2010-04-01,2011-03-31,1054000000
2010-04-01,2011-03-31,1054000000
2011-01-01,2011-03-31,201000000
2011-01-01,2011-03-31,201000000
2011-01-01,2011-03-31,201000000
2011-01-01,2011-03-31,130000000
2010-07-01,2011-06-30,1038000000
2010-07-01,2011-06-30,1038000000
2011-01-01,2011-06-30,391000000
2011-01-01,2011-06-30,391000000
2011-04-01,2011-06-30,191000000
2011-04-01,2011-06-30,191000000
2011-04-01,2011-06-30,191000000
2011-04-01,2011-06-30,7000000
2010-10-01,2011-09-30,871000000
2010-10-01,2011-09-30,871000000
2011-01-01,2011-09-30,454000000
2011-01-01,2011-09-30,454000000
2011-07-01,2011-09-30,63000000
2011-07-01,2011-09-30,63000000
2011-07-01,2011-09-30,63000000
2011-07-01,2011-09-30,-274000000
2011-01-01,2011-12-31,631000000
2011-01-01,2011-12-31,631000000
2011-01-01,2011-12-31,631000000
2011-10-01,2011-12-31,177000000
2011-10-01,2011-12-31,97000000
2011-04-01,2012-03-31,561000000
2011-04-01,2012-03-31,561000000
2012-01-01,2012-03-31,130000000
2012-01-01,2012-03-31,201000000
2012-01-01,2012-03-31,130000000
2012-01-01,2012-03-31,130000000
2011-07-01,2012-06-30,377000000
2011-07-01,2012-06-30,377000000
2012-01-01,2012-06-30,137000000
2012-01-01,2012-06-30,137000000
2012-04-01,2012-06-30,7000000
2012-04-01,2012-06-30,191000000
2012-04-01,2012-06-30,7000000
2012-04-01,2012-06-30,7000000
2011-10-01,2012-09-30,40000000
2011-10-01,2012-09-30,40000000
2012-01-01,2012-09-30,-137000000
2012-01-01,2012-09-30,-137000000
2012-07-01,2012-09-30,-274000000
2012-07-01,2012-09-30,63000000
2012-07-01,2012-09-30,-274000000
2012-07-01,2012-09-30,-274000000
2012-01-01,2012-12-31,-39000000
2012-01-01,2012-12-31,-39000000
2012-01-01,2012-12-31,-39000000
2012-10-01,2012-12-31,177000000
2012-10-01,2012-12-31,97000000
2012-04-01,2013-03-31,-87000000
2012-04-01,2013-03-31,-87000000
2013-01-01,2013-03-31,82000000
2013-01-01,2013-03-31,82000000
2013-01-01,2013-03-31,82000000
2013-01-01,2013-03-31,82000000
2012-07-01,2013-06-30,-101000000
2012-07-01,2013-06-30,-101000000
2013-01-01,2013-06-30,75000000
2013-01-01,2013-06-30,75000000
2013-04-01,2013-06-30,-7000000
2013-04-01,2013-06-30,-7000000
2013-04-01,2013-06-30,-7000000
2013-04-01,2013-06-30,-7000000
2012-10-01,2013-09-30,132000000
2012-10-01,2013-09-30,132000000
2013-01-01,2013-09-30,34000000
2013-01-01,2013-09-30,34000000
2013-07-01,2013-09-30,-41000000
2013-07-01,2013-09-30,-41000000
2013-07-01,2013-09-30,-41000000
2013-07-01,2013-09-30,-41000000
2013-01-01,2013-12-31,274000000
2013-01-01,2013-12-31,274000000
2013-01-01,2013-12-31,274000000
2013-10-01,2013-12-31,239000000
2013-10-01,2013-12-31,239000000
2013-04-01,2014-03-31,299000000
2013-04-01,2014-03-31,299000000
2014-01-01,2014-03-31,108000000
2014-01-01,2014-03-31,108000000
2014-01-01,2014-03-31,108000000
2014-01-01,2014-03-31,108000000
2013-07-01,2014-06-30,181000000
2013-07-01,2014-06-30,181000000
2014-01-01,2014-06-30,-18000000
2014-01-01,2014-06-30,-18000000
2014-04-01,2014-06-30,-126000000
2014-04-01,2014-06-30,-126000000
2014-04-01,2014-06-30,-126000000
2014-04-01,2014-06-30,-126000000
2013-10-01,2014-09-30,-216000000
2013-10-01,2014-09-30,-216000000
2014-01-01,2014-09-30,-455000000
2014-01-01,2014-09-30,-455000000
2014-07-01,2014-09-30,-437000000
2014-07-01,2014-09-30,-437000000
2014-07-01,2014-09-30,-437000000
2014-07-01,2014-09-30,-437000000
2014-01-01,2014-12-31,-241000000
2014-01-01,2014-12-31,-241000000
2014-01-01,2014-12-31,-241000000
2014-10-01,2014-12-31,214000000
2014-10-01,2014-12-31,214000000
2014-04-01,2015-03-31,-405000000
2014-04-01,2015-03-31,-405000000
2015-01-01,2015-03-31,-57000000
2015-01-01,2015-03-31,-57000000
2015-01-01,2015-03-31,-57000000
2015-01-01,2015-03-31,-57000000
2014-07-01,2015-06-30,-188000000
2014-07-01,2015-06-30,-188000000
2015-01-01,2015-06-30,35000000
2015-01-01,2015-06-30,35000000
2015-04-01,2015-06-30,92000000
2015-04-01,2015-06-30,92000000
2015-04-01,2015-06-30,92000000
2015-04-01,2015-06-30,92000000
2014-10-01,2015-09-30,328000000
2014-10-01,2015-09-30,328000000
2015-01-01,2015-09-30,114000000
2015-01-01,2015-09-30,114000000
2015-07-01,2015-09-30,79000000
2015-07-01,2015-09-30,79000000
2015-07-01,2015-09-30,79000000
2015-07-01,2015-09-30,79000000
2015-01-01,2015-12-31,596000000
2015-01-01,2015-12-31,596000000
2015-01-01,2015-12-31,596000000
2015-10-01,2015-12-31,482000000
2015-10-01,2015-12-31,482000000
2015-04-01,2016-03-31,1166000000
2015-04-01,2016-03-31,1166000000
2016-01-01,2016-03-31,513000000
2016-01-01,2016-03-31,513000000
2016-01-01,2016-03-31,513000000
2016-01-01,2016-03-31,513000000
2015-07-01,2016-06-30,1931000000
2015-07-01,2016-06-30,1931000000
2016-01-01,2016-06-30,1370000000
2016-01-01,2016-06-30,1370000000
2016-04-01,2016-06-30,857000000
2016-04-01,2016-06-30,857000000
2016-04-01,2016-06-30,857000000
2016-04-01,2016-06-30,857000000
2015-10-01,2016-09-30,2105000000
2015-10-01,2016-09-30,2105000000
2016-01-01,2016-09-30,1622000000
2016-01-01,2016-09-30,1622000000
2016-07-01,2016-09-30,252000000
2016-07-01,2016-09-30,252000000
2016-07-01,2016-09-30,252000000
2016-07-01,2016-09-30,252000000
2016-01-01,2016-12-31,2371000000
2016-01-01,2016-12-31,2371000000
2016-01-01,2016-12-31,2371000000
2016-10-01,2016-12-31,749000000
2016-10-01,2016-12-31,749000000
2016-04-01,2017-03-31,2583000000
2016-04-01,2017-03-31,2583000000
2017-01-01,2017-03-31,724000000
2017-01-01,2017-03-31,724000000
2017-01-01,2017-03-31,724000000
2017-01-01,2017-03-31,724000000
2016-07-01,2017-06-30,1922000000
2016-07-01,2017-06-30,1922000000
2017-01-01,2017-06-30,921000000
2017-01-01,2017-06-30,921000000
2017-04-01,2017-06-30,197000000
2017-04-01,2017-06-30,197000000
2017-04-01,2017-06-30,197000000
2017-04-01,2017-06-30,197000000
2016-10-01,2017-09-30,1926000000
2016-10-01,2017-09-30,1926000000
2017-01-01,2017-09-30,1176000000
2017-01-01,2017-09-30,1176000000
2017-07-01,2017-09-30,256000000
2017-07-01,2017-09-30,256000000
2017-07-01,2017-09-30,256000000
2017-07-01,2017-09-30,256000000
2017-01-01,2017-12-31,3033000000
2017-01-01,2017-12-31,3033000000
2017-01-01,2017-12-31,3033000000
2017-10-01,2017-12-31,1856000000
2017-10-01,2017-12-31,1856000000
2017-04-01,2018-03-31,3938000000
2017-04-01,2018-03-31,3938000000
2018-01-01,2018-03-31,1629000000
2018-01-01,2018-03-31,1629000000
2018-01-01,2018-03-31,1629000000
2018-01-01,2018-03-31,1629000000
2017-07-01,2018-06-30,6275000000
2017-07-01,2018-06-30,6275000000
2018-01-01,2018-06-30,4163000000
2018-01-01,2018-06-30,4163000000
2018-04-01,2018-06-30,2534000000
2018-04-01,2018-06-30,2534000000
2018-04-01,2018-06-30,2534000000
2018-04-01,2018-06-30,2534000000
2017-10-01,2018-09-30,8902000000
2017-10-01,2018-09-30,8902000000
2018-01-01,2018-09-30,7046000000
2018-01-01,2018-09-30,7046000000
2018-07-01,2018-09-30,2883000000
2018-07-01,2018-09-30,2883000000
2018-07-01,2018-09-30,2883000000
2018-07-01,2018-09-30,2883000000
2018-01-01,2018-12-31,10073000000
2018-01-01,2018-12-31,10073000000
2018-01-01,2018-12-31,10073000000
2018-10-01,2018-12-31,3027000000
2018-10-01,2018-12-31,3027000000
2018-04-01,2019-03-31,12005000000
2018-04-01,2019-03-31,12005000000
2019-01-01,2019-03-31,3561000000
2019-01-01,2019-03-31,3561000000
2019-01-01,2019-03-31,3561000000
2019-01-01,2019-03-31,3561000000
2018-07-01,2019-06-30,12096000000
2018-07-01,2019-06-30,12096000000
2019-01-01,2019-06-30,6186000000
2019-01-01,2019-06-30,6186000000
2019-04-01,2019-06-30,2625000000
2019-04-01,2019-06-30,2625000000
