start,end,net_income_loss
2013-01-01,2013-12-31,12733000000
2013-01-01,2013-12-31,12733000000
2014-01-01,2014-09-30,9461000000
2014-07-01,2014-09-30,2739000000
2014-01-01,2014-12-31,14136000000
2014-01-01,2014-12-31,14136000000
2014-01-01,2014-12-31,14136000000
2015-01-01,2015-03-31,3515000000
2015-01-01,2015-03-31,3515000000
2015-01-01,2015-06-30,7446000000
2015-04-01,2015-06-30,3931000000
2015-01-01,2015-09-30,11425000000
2015-01-01,2015-09-30,11425000000
2015-07-01,2015-09-30,3979000000
2015-07-01,2015-09-30,3979000000
2015-01-01,2015-12-31,16348000000
2015-01-01,2015-12-31,16348000000
2015-01-01,2015-12-31,16348000000
2015-01-01,2015-12-31,16348000000
2016-01-01,2016-03-31,4207000000
2016-01-01,2016-03-31,4207000000
2016-01-01,2016-06-30,9084000000
2016-01-01,2016-06-30,9084000000
2016-04-01,2016-06-30,4877000000
2016-04-01,2016-06-30,4877000000
2016-01-01,2016-09-30,14145000000
2016-01-01,2016-09-30,14145000000
2016-07-01,2016-09-30,5061000000
2016-07-01,2016-09-30,5061000000
2016-01-01,2016-12-31,19478000000
2016-01-01,2016-12-31,19478000000
2016-01-01,2016-12-31,19478000000
2017-01-01,2017-03-31,5426000000
2017-01-01,2017-03-31,5426000000
2017-01-01,2017-06-30,8950000000
2017-01-01,2017-06-30,8950000000
2017-04-01,2017-06-30,3524000000
2017-04-01,2017-06-30,3524000000
2017-01-01,2017-09-30,15682000000
2017-01-01,2017-09-30,15682000000
2017-07-01,2017-09-30,6732000000
2017-07-01,2017-09-30,6732000000
2017-01-01,2017-12-31,12662000000
2017-01-01,2017-12-31,12662000000
2017-01-01,2017-12-31,12662000000
2018-01-01,2018-03-31,9401000000
2018-01-01,2018-03-31,9401000000
2018-01-01,2018-06-30,12596000000
2018-01-01,2018-06-30,12596000000
2018-04-01,2018-06-30,3195000000
2018-04-01,2018-06-30,3195000000
2018-01-01,2018-09-30,21788000000
2018-01-01,2018-09-30,21788000000
2018-07-01,2018-09-30,9192000000
2018-07-01,2018-09-30,9192000000
2018-01-01,2018-12-31,30736000000
2018-01-01,2018-12-31,30736000000
2018-01-01,2018-12-31,30736000000
2019-01-01,2019-03-31,6657000000
2019-01-01,2019-03-31,6657000000
2019-01-01,2019-06-30,16604000000
2019-01-01,2019-06-30,16604000000
2019-04-01,2019-06-30,9947000000
2019-04-01,2019-06-30,9947000000
2019-01-01,2019-09-30,23672000000
2019-01-01,2019-09-30,23672000000
2019-07-01,2019-09-30,7068000000
2019-07-01,2019-09-30,7068000000
2019-01-01,2019-12-31,34343000000
2019-01-01,2019-12-31,34343000000
2019-01-01,2019-12-31,34343000000
2020-01-01,2020-03-31,6836000000
2020-01-01,2020-03-31,6836000000
2020-01-01,2020-06-30,13795000000
2020-01-01,2020-06-30,13795000000
2020-04-01,2020-06-30,6959000000
2020-04-01,2020-06-30,6959000000
2020-01-01,2020-09-30,25042000000
2020-01-01,2020-09-30,25042000000
2020-07-01,2020-09-30,11247000000
2020-07-01,2020-09-30,11247000000
2020-01-01,2020-12-31,40269000000
2020-01-01,2020-12-31,40269000000
2020-01-01,2020-12-31,40269000000
2021-01-01,2021-03-31,17930000000
2021-01-01,2021-03-31,17930000000
2021-01-01,2021-06-30,36455000000
2021-01-01,2021-06-30,36455000000
2021-04-01,2021-06-30,18525000000
2021-04-01,2021-06-30,18525000000
2021-01-01,2021-09-30,55391000000
2021-01-01,2021-09-30,55391000000
2021-07-01,2021-09-30,18936000000
2021-07-01,2021-09-30,18936000000
2021-01-01,2021-12-31,76033000000
2021-01-01,2021-12-31,76033000000
2021-01-01,2021-12-31,76033000000
2022-01-01,2022-03-31,16436000000
2022-01-01,2022-03-31,16436000000
2022-01-01,2022-06-30,32438000000
2022-01-01,2022-06-30,32438000000
2022-04-01,2022-06-30,16002000000
2022-04-01,2022-06-30,16002000000
2022-01-01,2022-09-30,46348000000
2022-01-01,2022-09-30,46348000000
2022-07-01,2022-09-30,13910000000
2022-07-01,2022-09-30,13910000000
2022-01-01,2022-12-31,59972000000
2022-01-01,2022-12-31,59972000000
2023-01-01,2023-03-31,15051000000
2023-01-01,2023-03-31,15051000000
2023-01-01,2023-06-30,33419000000
2023-01-01,2023-06-30,33419000000
2023-04-01,2023-06-30,18368000000
2023-04-01,2023-06-30,18368000000
2023-01-01,2023-09-30,53108000000
2023-07-01,2023-09-30,19689000000
2023-01-01,2023-12-31,73795000000
2024-01-01,2024-03-31,23662000000
2024-01-01,2024-06-30,47281000000
2024-04-01,2024-06-30,23619000000
