start,end,net_income_loss
2010-01-01,2010-12-31,606000000
2011-01-01,2011-06-30,471000000
2011-04-01,2011-06-30,240000000
2011-01-01,2011-09-30,698000000
2011-07-01,2011-09-30,227000000
2011-01-01,2011-12-31,1000000000
2011-01-01,2011-12-31,1000000000
2012-01-01,2012-03-31,205000000
2012-01-01,2012-06-30,48000000
2012-01-01,2012-06-30,48000000
2012-04-01,2012-06-30,-157000000
2012-04-01,2012-06-30,-157000000
2012-01-01,2012-09-30,-11000000
2012-01-01,2012-09-30,-11000000
2012-07-01,2012-09-30,-59000000
2012-07-01,2012-09-30,-59000000
2012-01-01,2012-12-31,53000000
2012-01-01,2012-12-31,53000000
2012-01-01,2012-12-31,53000000
2013-01-01,2013-03-31,219000000
2013-01-01,2013-03-31,219000000
2013-01-01,2013-06-30,552000000
2013-01-01,2013-06-30,552000000
2013-04-01,2013-06-30,333000000
2013-04-01,2013-06-30,333000000
2013-01-01,2013-09-30,977000000
2013-01-01,2013-09-30,977000000
2013-07-01,2013-09-30,425000000
2013-07-01,2013-09-30,425000000
2013-01-01,2013-12-31,1500000000
2013-01-01,2013-12-31,1500000000
2013-01-01,2013-12-31,1500000000
2014-01-01,2014-03-31,642000000
2014-01-01,2014-03-31,642000000
2014-01-01,2014-06-30,1433000000
2014-01-01,2014-06-30,1433000000
2014-04-01,2014-06-30,791000000
2014-04-01,2014-06-30,791000000
2014-01-01,2014-09-30,2239000000
2014-01-01,2014-09-30,2239000000
2014-07-01,2014-09-30,806000000
2014-07-01,2014-09-30,806000000
2014-01-01,2014-12-31,2940000000
2014-01-01,2014-12-31,2940000000
2014-01-01,2014-12-31,2940000000
2015-01-01,2015-03-31,512000000
2015-01-01,2015-03-31,512000000
2015-01-01,2015-06-30,1231000000
2015-01-01,2015-06-30,1231000000
2015-04-01,2015-06-30,719000000
2015-04-01,2015-06-30,719000000
2015-01-01,2015-09-30,2127000000
2015-01-01,2015-09-30,2127000000
2015-07-01,2015-09-30,896000000
2015-07-01,2015-09-30,896000000
2015-01-01,2015-12-31,3688000000
2015-01-01,2015-12-31,3688000000
2015-01-01,2015-12-31,3688000000
2016-01-01,2016-03-31,1510000000
2016-01-01,2016-03-31,1738000000
2016-01-01,2016-03-31,1738000000
2016-01-01,2016-06-30,3565000000
2016-01-01,2016-06-30,4021000000
2016-04-01,2016-06-30,2055000000
2016-04-01,2016-06-30,2283000000
2016-04-01,2016-06-30,2283000000
2016-01-01,2016-09-30,5944000000
2016-01-01,2016-09-30,6648000000
2016-07-01,2016-09-30,2379000000
2016-07-01,2016-09-30,2627000000
2016-07-01,2016-09-30,2627000000
2016-01-01,2016-12-31,10217000000
2016-01-01,2016-12-31,10217000000
2016-01-01,2016-12-31,10217000000
2017-01-01,2017-03-31,3064000000
2017-01-01,2017-03-31,3064000000
2017-01-01,2017-06-30,6959000000
2017-01-01,2017-06-30,6959000000
2017-04-01,2017-06-30,3894000000
2017-04-01,2017-06-30,3894000000
2017-01-01,2017-09-30,11665000000
2017-01-01,2017-09-30,11665000000
2017-07-01,2017-09-30,4707000000
2017-07-01,2017-09-30,4707000000
2017-01-01,2017-12-31,15934000000
2017-01-01,2017-12-31,15934000000
2017-01-01,2017-12-31,15934000000
2018-01-01,2018-03-31,4988000000
2018-01-01,2018-03-31,4988000000
2018-01-01,2018-06-30,10093000000
2018-01-01,2018-06-30,10093000000
2018-04-01,2018-06-30,5106000000
2018-04-01,2018-06-30,5106000000
2018-01-01,2018-09-30,15230000000
2018-01-01,2018-09-30,15230000000
2018-07-01,2018-09-30,5137000000
2018-07-01,2018-09-30,5137000000
2018-01-01,2018-12-31,22112000000
2018-01-01,2018-12-31,22112000000
2018-01-01,2018-12-31,22112000000
2019-01-01,2019-03-31,2429000000
2019-01-01,2019-03-31,2429000000
2019-01-01,2019-06-30,5045000000
2019-01-01,2019-06-30,5045000000
2019-04-01,2019-06-30,2616000000
2019-04-01,2019-06-30,2616000000
2019-01-01,2019-09-30,11136000000
2019-01-01,2019-09-30,11136000000
2019-07-01,2019-09-30,6091000000
2019-07-01,2019-09-30,6091000000
2019-01-01,2019-12-31,18485000000
2019-01-01,2019-12-31,18485000000
2019-01-01,2019-12-31,18485000000
2020-01-01,2020-03-31,4902000000
2020-01-01,2020-03-31,4902000000
2020-01-01,2020-06-30,10081000000
2020-01-01,2020-06-30,10081000000
2020-04-01,2020-06-30,5178000000
2020-04-01,2020-06-30,5178000000
2020-01-01,2020-09-30,17927000000
2020-01-01,2020-09-30,17927000000
2020-07-01,2020-09-30,7846000000
2020-07-01,2020-09-30,7846000000
2020-01-01,2020-12-31,29146000000
2020-01-01,2020-12-31,29146000000
2020-01-01,2020-12-31,29146000000
2021-01-01,2021-03-31,9497000000
2021-01-01,2021-03-31,9497000000
2021-01-01,2021-06-30,19892000000
2021-01-01,2021-06-30,19892000000
2021-04-01,2021-06-30,10394000000
2021-04-01,2021-06-30,10394000000
2021-01-01,2021-09-30,29085000000
2021-01-01,2021-09-30,29085000000
2021-07-01,2021-09-30,9194000000
2021-07-01,2021-09-30,9194000000
2021-01-01,2021-12-31,39370000000
2021-01-01,2021-12-31,39370000000
2021-01-01,2021-12-31,39370000000
2022-01-01,2022-03-31,7465000000
2022-01-01,2022-03-31,7465000000
2022-01-01,2022-06-30,14152000000
2022-01-01,2022-06-30,14152000000
2022-04-01,2022-06-30,6687000000
2022-04-01,2022-06-30,6687000000
2022-01-01,2022-09-30,18547000000
2022-01-01,2022-09-30,18547000000
2022-07-01,2022-09-30,4395000000
2022-07-01,2022-09-30,4395000000
2022-01-01,2022-12-31,23200000000
2022-01-01,2022-12-31,23200000000
2023-01-01,2023-03-31,5709000000
2023-01-01,2023-03-31,5709000000
2023-01-01,2023-06-30,13498000000
2023-01-01,2023-06-30,13498000000
2023-04-01,2023-06-30,7788000000
2023-04-01,2023-06-30,7788000000
2023-01-01,2023-09-30,25081000000
2023-07-01,2023-09-30,11583000000
2023-01-01,2023-12-31,39098000000
2024-01-01,2024-03-31,12369000000
2024-01-01,2024-06-30,25834000000
2024-04-01,2024-06-30,13465000000
