start,end,net_income_loss
2007-07-01,2007-09-30,4289000000
2007-10-01,2007-12-31,4707000000
2008-01-01,2008-03-31,4388000000
2007-07-01,2008-06-30,17681000000
2008-04-01,2008-06-30,4297000000
2008-07-01,2008-09-30,4373000000
2008-07-01,2008-09-30,4373000000
2008-07-01,2008-12-31,8547000000
2008-10-01,2008-12-31,4174000000
2008-10-01,2008-12-31,4174000000
2008-07-01,2009-03-31,11524000000
2009-01-01,2009-03-31,2977000000
2009-01-01,2009-03-31,2977000000
2008-07-01,2009-06-30,14569000000
2008-07-01,2009-06-30,14569000000
2009-04-01,2009-06-30,3045000000
2009-07-01,2009-09-30,3574000000
2009-07-01,2009-09-30,3574000000
2009-07-01,2009-09-30,3574000000
2009-07-01,2009-09-30,3574000000
2009-07-01,2009-12-31,10236000000
2009-07-01,2009-12-31,10236000000
2009-10-01,2009-12-31,6662000000
2009-10-01,2009-12-31,6662000000
2009-10-01,2009-12-31,6662000000
2009-10-01,2009-12-31,6662000000
2009-07-01,2010-03-31,14242000000
2009-07-01,2010-03-31,14242000000
2010-01-01,2010-03-31,4006000000
2010-01-01,2010-03-31,4006000000
2010-01-01,2010-03-31,4006000000
2010-01-01,2010-03-31,4006000000
2009-07-01,2010-06-30,18760000000
2009-07-01,2010-06-30,18760000000
2009-07-01,2010-06-30,18760000000
2010-04-01,2010-06-30,4518000000
2010-04-01,2010-06-30,4518000000
2010-07-01,2010-09-30,5410000000
2010-07-01,2010-09-30,5410000000
2010-07-01,2010-09-30,5410000000
2010-07-01,2010-09-30,5410000000
2010-07-01,2010-12-31,12044000000
2010-07-01,2010-12-31,12044000000
2010-10-01,2010-12-31,6634000000
2010-10-01,2010-12-31,6634000000
2010-10-01,2010-12-31,6634000000
2010-10-01,2010-12-31,6634000000
2010-07-01,2011-03-31,17276000000
2010-07-01,2011-03-31,17276000000
2011-01-01,2011-03-31,5232000000
2011-01-01,2011-03-31,5232000000
2011-01-01,2011-03-31,5232000000
2011-01-01,2011-03-31,5232000000
2010-07-01,2011-06-30,23150000000
2010-07-01,2011-06-30,23150000000
2010-07-01,2011-06-30,23150000000
2010-07-01,2011-06-30,23150000000
2011-04-01,2011-06-30,5874000000
2011-04-01,2011-06-30,5874000000
2011-07-01,2011-09-30,5738000000
2011-07-01,2011-09-30,5738000000
2011-07-01,2011-09-30,5738000000
2011-07-01,2011-09-30,5738000000
2011-07-01,2011-09-30,5738000000
2011-07-01,2011-12-31,12362000000
2011-07-01,2011-12-31,12362000000
2011-10-01,2011-12-31,6624000000
2011-10-01,2011-12-31,6624000000
2011-10-01,2011-12-31,6624000000
2011-10-01,2011-12-31,6624000000
2011-10-01,2011-12-31,6624000000
2011-07-01,2012-03-31,17470000000
2011-07-01,2012-03-31,17470000000
2012-01-01,2012-03-31,5108000000
2012-01-01,2012-03-31,5108000000
2012-01-01,2012-03-31,5108000000
2012-01-01,2012-03-31,5108000000
2012-01-01,2012-03-31,5108000000
2011-07-01,2012-06-30,16978000000
2011-07-01,2012-06-30,16978000000
2011-07-01,2012-06-30,16978000000
2011-07-01,2012-06-30,16978000000
2012-04-01,2012-06-30,-492000000
2012-04-01,2012-06-30,-492000000
2012-04-01,2012-06-30,-492000000
2012-07-01,2012-09-30,4466000000
2012-07-01,2012-09-30,4466000000
2012-07-01,2012-09-30,4466000000
2012-07-01,2012-09-30,4466000000
2012-07-01,2012-09-30,4466000000
2012-07-01,2012-12-31,10843000000
2012-07-01,2012-12-31,10843000000
2012-10-01,2012-12-31,6377000000
2012-10-01,2012-12-31,6377000000
2012-10-01,2012-12-31,6377000000
2012-10-01,2012-12-31,6377000000
2012-10-01,2012-12-31,6377000000
2012-07-01,2013-03-31,16898000000
2012-07-01,2013-03-31,16898000000
2013-01-01,2013-03-31,6055000000
2013-01-01,2013-03-31,6055000000
2013-01-01,2013-03-31,6055000000
2013-01-01,2013-03-31,6055000000
2013-01-01,2013-03-31,6055000000
2012-07-01,2013-06-30,21863000000
2012-07-01,2013-06-30,21863000000
2012-07-01,2013-06-30,21863000000
2012-07-01,2013-06-30,21863000000
2012-07-01,2013-06-30,21863000000
2013-04-01,2013-06-30,4965000000
2013-04-01,2013-06-30,4965000000
