start,end,net_income_loss
2007-01-29,2008-01-27,797645000
2008-01-25,2008-07-27,55876000
2008-04-27,2008-07-27,-120929000
2008-01-28,2008-10-26,117624000
2008-07-28,2008-10-26,61748000
2008-01-28,2009-01-25,-30041000
2008-01-28,2009-01-25,-30041000
2009-01-26,2009-04-26,-201338000
2009-01-26,2009-04-26,-201338000
2009-01-25,2009-07-26,-306640000
2009-01-26,2009-07-26,-306640000
2009-04-27,2009-07-26,-105302000
2009-04-27,2009-07-26,-105302000
2009-04-27,2009-07-26,-105302000
2009-01-26,2009-10-25,-199063000
2009-01-26,2009-10-25,-199063000
2009-07-27,2009-10-25,107577000
2009-07-27,2009-10-25,107577000
2009-07-27,2009-10-25,107577000
2009-01-26,2010-01-31,-67987000
2009-01-26,2010-01-31,-67987000
2009-01-26,2010-01-31,-67987000
2009-10-26,2010-01-31,131076000
2010-02-01,2010-05-02,137594000
2010-02-01,2010-05-02,137594000
2010-02-01,2010-05-02,137594000
2010-02-01,2010-05-02,137594000
2010-05-03,2010-07-31,-140961000
2010-02-01,2010-08-01,-3367000
2010-02-01,2010-08-01,-3367000
2010-05-03,2010-08-01,-140961000
2010-05-03,2010-08-01,-140961000
2010-05-03,2010-08-01,-140961000
2010-02-01,2010-10-31,81495000
2010-02-01,2010-10-31,81495000
2010-08-02,2010-10-31,84862000
2010-08-02,2010-10-31,84862000
2010-08-02,2010-10-31,84862000
2010-08-02,2010-10-31,84862000
2010-02-01,2011-01-30,253146000
2010-02-01,2011-01-30,253146000
2010-02-01,2011-01-30,253146000
2010-11-01,2011-01-30,171651000
2010-11-01,2011-01-30,171651000
2011-01-31,2011-05-01,135219000
2011-01-31,2011-05-01,135219000
2011-01-31,2011-05-01,135219000
2011-01-31,2011-05-01,135219000
2011-01-31,2011-07-31,286792000
2011-01-31,2011-07-31,286792000
2011-05-02,2011-07-31,151573000
2011-05-02,2011-07-31,151573000
2011-05-02,2011-07-31,151573000
2011-05-02,2011-07-31,151573000
2011-01-31,2011-10-30,465065000
2011-01-31,2011-10-30,465065000
2011-08-01,2011-10-30,178273000
2011-08-01,2011-10-30,178273000
2011-08-01,2011-10-30,178273000
2011-08-01,2011-10-30,178273000
2011-01-31,2012-01-29,581090000
2011-01-31,2012-01-29,581090000
2011-01-31,2012-01-29,581090000
2011-10-31,2012-01-29,116025000
2011-10-31,2012-01-29,116025000
2012-01-30,2012-04-29,60437000
2012-01-30,2012-04-29,60437000
2012-01-30,2012-04-29,60437000
2012-01-30,2012-04-29,60437000
2012-01-30,2012-07-29,179483000
2012-01-30,2012-07-29,179483000
2012-04-30,2012-07-29,119046000
2012-04-30,2012-07-29,119046000
2012-04-30,2012-07-29,119046000
2012-04-30,2012-07-29,119046000
2012-01-30,2012-10-28,388563000
2012-01-30,2012-10-28,388563000
2012-07-30,2012-10-28,209080000
2012-07-30,2012-10-28,209080000
2012-07-30,2012-10-28,209080000
2012-07-30,2012-10-28,209080000
2012-01-30,2013-01-27,562536000
2012-01-30,2013-01-27,562536000
2012-01-30,2013-01-27,562536000
2012-10-29,2013-01-27,173973000
