start,end,net_income_loss
2009-01-01,2009-12-31,-55740000
2009-01-01,2009-12-31,-55740000
2010-01-01,2010-03-31,-29519000
2010-01-01,2010-06-30,-68036000
2010-04-01,2010-06-30,-38517000
2010-04-01,2010-06-30,-38517000
2010-01-01,2010-09-30,-102970000
2010-07-01,2010-09-30,-34935000
2010-07-01,2010-09-30,-34935000
2010-01-01,2010-12-31,-154328000
2010-01-01,2010-12-31,-154328000
2010-01-01,2010-12-31,-154328000
2010-10-01,2010-12-31,-51358000
2011-01-01,2011-03-31,-48941000
2011-01-01,2011-03-31,-48941000
2011-01-01,2011-03-31,-48941000
2011-01-01,2011-06-30,-107844000
2011-01-01,2011-06-30,-107844000
2011-04-01,2011-06-30,-58903000
2011-04-01,2011-06-30,-58903000
2011-04-01,2011-06-30,-58903000
2011-04-01,2011-06-30,-58903000
2011-01-01,2011-09-30,-172922000
2011-01-01,2011-09-30,-172922000
2011-07-01,2011-09-30,-65078000
2011-07-01,2011-09-30,-65078000
2011-07-01,2011-09-30,-65078000
2011-07-01,2011-09-30,-65078000
2011-01-01,2011-12-31,-254411000
2011-01-01,2011-12-31,-254411000
2011-01-01,2011-12-31,-254411000
2011-01-01,2011-12-31,-254411000
2011-10-01,2011-12-31,-81488000
2011-10-01,2011-12-31,-81488000
2012-01-01,2012-03-31,-89873000
2012-01-01,2012-03-31,-89873000
2012-01-01,2012-03-31,-89873000
2012-01-01,2012-03-31,-89873000
2012-01-01,2012-06-30,-195476000
2012-01-01,2012-06-30,-195476000
2012-04-01,2012-06-30,-105603000
2012-04-01,2012-06-30,-105603000
2012-04-01,2012-06-30,-105603000
2012-04-01,2012-06-30,-105603000
2012-01-01,2012-09-30,-306282000
2012-01-01,2012-09-30,-306282000
2012-07-01,2012-09-30,-110804000
2012-07-01,2012-09-30,-110804000
2012-07-01,2012-09-30,-110804000
2012-07-01,2012-09-30,-110804000
2012-01-01,2012-12-31,-396213000
2012-01-01,2012-12-31,-396213000
2012-01-01,2012-12-31,-396213000
2012-10-01,2012-12-31,-89932000
2012-10-01,2012-12-31,-89932000
2013-01-01,2013-03-31,11248000
2013-01-01,2013-03-31,11248000
2013-01-01,2013-03-31,11248000
2013-01-01,2013-03-31,11248000
2013-01-01,2013-06-30,-19254000
2013-01-01,2013-06-30,-19254000
2013-04-01,2013-06-30,-30502000
2013-04-01,2013-06-30,-30502000
2013-04-01,2013-06-30,-30502000
2013-04-01,2013-06-30,-30502000
2013-01-01,2013-09-30,-57750000
2013-01-01,2013-09-30,-57750000
2013-07-01,2013-09-30,-38496000
2013-07-01,2013-09-30,-38496000
2013-07-01,2013-09-30,-38496000
2013-07-01,2013-09-30,-38496000
2013-01-01,2013-12-31,-74014000
2013-01-01,2013-12-31,-74014000
2013-01-01,2013-12-31,-74014000
2013-10-01,2013-12-31,-16264000
2013-10-01,2013-12-31,-16264000
2014-01-01,2014-03-31,-49800000
2014-01-01,2014-03-31,-49800000
2014-01-01,2014-03-31,-49800000
2014-01-01,2014-03-31,-49800000
2014-01-01,2014-06-30,-111702000
2014-01-01,2014-06-30,-111702000
2014-04-01,2014-06-30,-61900000
2014-04-01,2014-06-30,-61902000
2014-04-01,2014-06-30,-61900000
2014-04-01,2014-06-30,-61900000
2014-01-01,2014-09-30,-186411000
2014-01-01,2014-09-30,-186411000
2014-07-01,2014-09-30,-74708000
2014-07-01,2014-09-30,-74708000
2014-07-01,2014-09-30,-74708000
2014-07-01,2014-09-30,-74708000
2014-01-01,2014-12-31,-294040000
2014-01-01,2014-12-31,-294040000
2014-01-01,2014-12-31,-294040000
2014-10-01,2014-12-31,-107630000
2014-10-01,2014-12-31,-107630000
2015-01-01,2015-03-31,-154181000
2015-01-01,2015-03-31,-154181000
2015-01-01,2015-03-31,-154181000
2015-01-01,2015-03-31,-154181000
2015-01-01,2015-06-30,-338408000
2015-01-01,2015-06-30,-338408000
2015-04-01,2015-06-30,-184227000
2015-04-01,2015-06-30,-184227000
2015-04-01,2015-06-30,-184227000
2015-04-01,2015-06-30,-184227000
2015-01-01,2015-09-30,-568266000
2015-01-01,2015-09-30,-568266000
2015-07-01,2015-09-30,-229858000
2015-07-01,2015-09-30,-229858000
2015-07-01,2015-09-30,-229858000
2015-07-01,2015-09-30,-229858000
2015-01-01,2015-12-31,-888663000
2015-01-01,2015-12-31,-888663000
2015-01-01,2015-12-31,-888663000
2015-10-01,2015-12-31,-320397000
2015-10-01,2015-12-31,-320397000
2016-01-01,2016-03-31,-282267000
2016-01-01,2016-03-31,-282267000
2016-01-01,2016-03-31,-282267000
2016-01-01,2016-03-31,-282267000
2016-01-01,2016-06-30,-575455000
2016-01-01,2016-06-30,-575455000
2016-04-01,2016-06-30,-293188000
2016-04-01,2016-06-30,-293188000
2016-04-01,2016-06-30,-293188000
